1010;2017;2;0;2;2;24;1;3;40;20333;12000
1011;2017;1;0;2;1;31;1;3;48;53314;14000
99;2017;1;1;2;1;46;1;3;35;10333;-1
99;2017;2;0;2;1;16;0;0;-1;-1;0
99;2017;3;0;2;2;15;0;0;-1;-1;0
1012;2017;1;0;2;2;47;1;3;40;55314;3500
1012;2017;2;0;2;2;49;1;3;32;72314;4000
1012;2017;3;0;2;1;69;0;0;-1;-1;0
1013;2017;1;0;2;1;57;1;3;48;10333;-1
1013;2017;2;0;2;1;54;0;0;-1;-1;0
1013;2017;3;0;2;1;21;1;3;36;10333;-1
304;2017;1;1;2;2;43;1;3;58;30332;-1
304;2017;2;1;2;1;42;0;3;-1;-1;0
304;2017;3;0;2;1;12;0;0;-1;-1;0
304;2017;4;0;2;2;6;0;0;-1;-1;0
304;2017;5;0;2;2;10;0;0;-1;-1;0
1014;2017;1;0;2;2;76;0;0;-1;-1;0
1014;2017;2;0;2;2;75;0;0;-1;-1;0
903;2017;1;0;2;1;69;0;0;-1;-1;0
903;2017;2;0;2;1;59;0;0;-1;-1;0
903;2017;4;0;2;1;21;1;3;28;57314;5000
1015;2017;1;1;2;2;35;1;3;40;10333;20000
1015;2017;2;1;2;2;32;1;3;20;41332;12000
1016;2017;1;1;2;1;53;1;3;40;40312;20000
1017;2017;1;0;2;1;71;0;0;-1;-1;0
1018;2017;1;1;2;2;54;1;2;60;81131;-1
1019;2017;1;1;2;1;50;1;3;30;41312;-1
1019;2017;2;0;2;1;75;0;0;-1;-1;0
1021;2017;1;0;2;2;25;1;3;30;10333;15000
1021;2017;2;0;2;1;21;1;3;25;35323;5000
1023;2017;1;0;2;2;51;1;3;55;40312;18000
1023;2017;2;0;2;2;15;0;0;-1;-1;0
1024;2017;1;0;2;2;75;0;0;-1;-1;0
1024;2017;2;0;2;1;30;1;3;48;30333;13000
1025;2017;1;0;2;2;57;1;1;48;6001;27000
1025;2017;2;0;2;2;56;0;0;-1;-1;0
1025;2017;3;0;2;1;26;1;3;48;72203;18000
1026;2017;1;0;2;2;70;0;0;-1;-1;0
1027;2017;1;0;2;2;45;1;3;72;20333;-1
1027;2017;2;0;2;2;22;0;0;-1;-1;0
1027;2017;3;0;2;1;5;0;0;-1;-1;0
1027;2017;4;0;2;2;3;0;0;-1;-1;0
1028;2017;1;0;2;2;72;0;0;-1;-1;0
699;2017;1;0;2;1;58;1;3;2;55314;-1
699;2017;2;0;2;1;58;0;0;-1;-1;0
699;2017;3;0;2;1;24;0;0;-1;-1;0
699;2017;4;0;2;2;4;0;0;-1;-1;0
699;2017;5;0;2;2;36;1;3;66;30314;-1
699;2017;6;0;2;1;16;0;0;-1;-1;0
699;2017;7;0;2;1;13;0;0;-1;-1;0
319;2017;1;0;2;1;97;0;0;-1;-1;0
1029;2017;1;0;2;2;24;1;3;20;80332;15000
1031;2017;1;0;2;1;51;1;3;55;10333;-1
1031;2017;2;0;2;1;20;0;0;-1;-1;0
1031;2017;3;0;2;2;14;0;0;-1;-1;0
1031;2017;4;1;2;2;31;1;3;66;30333;-1
1031;2017;5;0;2;2;10;0;0;-1;-1;0
1031;2017;6;0;2;1;23;0;3;-1;-1;0
104;2017;1;0;2;2;62;1;2;40;72112;18000
104;2017;2;0;2;1;59;1;3;40;30314;15000
1032;2017;1;0;2;2;42;1;3;55;72313;10000
1032;2017;2;0;2;2;33;0;0;-1;-1;0
